iter	Passed	Remaining
0	167	166870
1	184	92168
2	188	62596
3	201	50136
4	208	41436
5	214	35506
6	218	31039
7	223	27768
8	228	25206
9	234	23189
10	239	21497
11	244	20165
12	248	18877
13	256	18082
14	260	17118
15	264	16264
16	268	15536
17	272	14851
18	276	14259
19	282	13820
20	286	13350
21	290	12904
22	295	12568
23	299	12190
24	304	11890
25	310	11613
26	314	11340
27	319	11081
28	325	10900
29	329	10653
30	337	10542
31	342	10371
32	352	10331
33	359	10228
34	367	10126
35	376	10069
36	385	10041
37	390	9891
38	397	9794
39	403	9692
40	411	9629
41	423	9658
42	429	9563
43	433	9423
44	439	9321
45	442	9184
46	447	9064
47	452	8981
48	457	8883
49	464	8819
50	471	8779
51	476	8684
52	483	8644
53	488	8561
54	499	8577
55	503	8492
56	509	8422
57	514	8353
58	518	8263
59	527	8266
60	533	8218
61	539	8165
62	547	8145
63	552	8079
64	559	8045
65	565	7997
66	575	8009
67	581	7972
68	587	7927
69	592	7870
70	601	7871
71	607	7833
72	613	7786
73	617	7732
74	622	7680
75	627	7624
76	635	7622
77	639	7564
78	647	7544
79	650	7484
80	656	7446
81	661	7406
82	663	7334
83	675	7364
84	684	7363
85	688	7319
86	695	7299
87	699	7248
88	706	7228
89	709	7173
90	712	7118
91	716	7074
92	720	7029
93	724	6979
94	727	6930
95	731	6886
96	735	6850
97	739	6808
98	743	6765
99	748	6733
100	751	6691
101	755	6652
102	760	6622
103	764	6587
104	768	6553
105	772	6516
106	778	6496
107	782	6466
108	786	6430
109	793	6422
110	798	6397
111	806	6395
112	810	6361
113	814	6327
114	819	6303
115	823	6278
116	826	6237
117	831	6212
118	836	6190
119	840	6162
120	845	6139
121	849	6112
122	854	6095
123	863	6099
124	868	6080
125	874	6064
126	879	6048
127	886	6037
128	898	6068
129	905	6056
130	918	6090
131	924	6079
132	931	6069
133	937	6059
134	942	6036
135	948	6027
136	953	6005
137	961	6004
138	968	5997
139	975	5994
140	981	5977
141	985	5956
142	991	5940
143	995	5920
144	1002	5911
145	1007	5890
146	1016	5898
147	1020	5876
148	1025	5854
149	1033	5857
150	1037	5836
151	1042	5815
152	1052	5827
153	1057	5810
154	1062	5792
155	1067	5776
156	1072	5758
157	1079	5750
158	1086	5745
159	1091	5728
160	1093	5700
161	1098	5680
162	1105	5676
163	1110	5658
164	1113	5636
165	1118	5619
166	1124	5611
167	1129	5595
168	1136	5587
169	1142	5578
170	1147	5563
171	1151	5544
172	1155	5521
173	1160	5506
174	1164	5491
175	1169	5475
176	1174	5459
177	1179	5446
178	1183	5428
179	1188	5412
180	1194	5403
181	1198	5385
182	1203	5374
183	1210	5368
184	1215	5355
185	1227	5371
186	1235	5371
187	1241	5360
188	1244	5342
189	1248	5324
190	1252	5306
191	1258	5296
192	1263	5284
193	1268	5270
194	1273	5259
195	1282	5260
196	1290	5258
197	1297	5254
198	1303	5245
199	1315	5261
200	1347	5356
201	1353	5347
202	1359	5337
203	1364	5323
204	1370	5315
205	1375	5301
206	1380	5289
207	1386	5278
208	1399	5295
209	1405	5287
210	1414	5290
211	1419	5276
212	1425	5266
213	1431	5258
214	1435	5242
215	1441	5232
216	1446	5220
217	1451	5206
218	1458	5202
219	1463	5189
220	1479	5214
221	1493	5235
222	1502	5236
223	1512	5238
224	1518	5230
225	1526	5229
226	1534	5225
227	1540	5214
228	1549	5218
229	1558	5216
230	1566	5213
231	1577	5222
232	1587	5224
233	1595	5222
234	1604	5223
235	1612	5219
236	1646	5300
237	1662	5323
238	1667	5310
239	1673	5297
240	1681	5295
241	1688	5289
242	1695	5283
243	1700	5269
244	1704	5252
245	1710	5243
246	1715	5228
247	1721	5219
248	1727	5210
249	1732	5196
250	1737	5185
251	1744	5178
252	1756	5186
253	1764	5183
254	1773	5181
255	1787	5194
256	1807	5225
257	1822	5240
258	1838	5259
259	1844	5248
260	1852	5244
261	1857	5232
262	1862	5219
263	1867	5207
264	1873	5197
265	1880	5188
266	1896	5206
267	1908	5213
268	1913	5199
269	1918	5187
270	1924	5176
271	1927	5159
272	1930	5142
273	1938	5136
274	1943	5122
275	1948	5112
276	1959	5113
277	1964	5102
278	1970	5091
279	1975	5079
280	1981	5070
281	1986	5057
282	1991	5045
283	1997	5035
284	2001	5022
285	2007	5010
286	2015	5007
287	2019	4993
288	2024	4981
289	2030	4971
290	2041	4973
291	2046	4962
292	2051	4949
293	2057	4940
294	2062	4927
295	2067	4916
296	2079	4923
297	2086	4915
298	2092	4905
299	2105	4912
